all_flow_lemon,
0,0,0,
3,0,0,
18,0,0,
28,0,0,
10,0,0,
7,0,0,
6,0,0,
4,0,0,
3,0,0,
3,0,0,
2,0,0,
161462,40095,4,
211104,50957,5,
215534,50973,5,
279492,112883,9,
278919,130550,11,
283191,148243,12,
286556,141273,10,
284522,170650,12,
281075,137249,11,
284602,90269,9,
282412,141153,10,
276079,123730,9,
283317,124674,10,
277393,122154,10,
280038,127813,10,
243153,89995,7,
224027,72562,7,
221108,155117,12,
220821,62940,6,
220611,111755,8,
219856,85753,6,
208545,90187,6,
191198,136786,11,
197789,89455,7,
198638,83313,6,
195543,58447,4,
194188,70032,7,
198500,63285,6,
195529,30149,3,
203397,50142,5,
187615,20406,2,
196092,50467,4,
195467,35290,3,
197656,41744,4,
198518,74897,7,
195085,10560,1,
196334,21174,2,
200813,21299,2,
197152,10002,1,
208201,10008,1,
200152,21072,2,
200222,20012,2,
190795,20004,2,
191338,54125,5,
199366,24749,2,
195379,72879,6,
199607,84392,7,
198880,75895,6,
199530,22506,2,
197436,10002,1,
197489,22199,2,
183390,10252,1,
206461,20032,2,
204594,0,0,
194412,0,0,
196851,42685,4,
187309,0,0,
193966,0,0,
193684,10002,1,
199006,22122,2,
193790,12813,1,
215286,13101,1,
227705,16422,1,
217230,45504,4,
210212,59820,5,
221284,46341,4,
217370,56987,5,
217652,31939,3,
204236,53926,5,
197204,46160,4,
196938,10002,1,
195528,10028,1,
196393,50483,5,
190804,43254,4,
188331,33994,3,
197251,10006,1,
190964,11999,1,
213938,64971,6,
215725,41422,4,
209721,51998,5,
192968,42793,4,
173413,51663,5,
194156,10046,1,
195704,61432,6,
192866,20022,2,
197304,63713,6,
196150,10004,1,
193199,10004,1,
199803,10002,1,
216411,60918,6,
212854,10006,1,
204019,96491,9,
202392,22304,2,
197488,51590,5,
194051,92399,9,
196078,117539,11,
200379,65619,6,
204359,10020,1,
197591,0,0,
201459,30008,3,
199963,30014,3,
202281,20240,2,
203650,40864,4,
202590,43969,4,
191081,38775,3,
193839,23146,2,
196153,20335,2,
201330,56334,5,
204316,60669,6,
209214,97324,8,
206287,51516,4,
203742,62859,5,
192816,30014,3,
203849,58678,5,
221640,52008,5,
208703,72204,7,
193398,40054,4,
208030,56547,4,
206505,58268,5,
204910,41658,4,
198051,20182,2,
205343,65852,5,
212571,31128,3,
207698,75630,6,
200502,92812,7,
206465,57320,4,
204782,60256,5,
197240,76471,7,
203635,95509,8,
203816,99141,9,
187847,58462,5,
194702,40970,4,
202437,71888,6,
188151,13403,1,
186598,20809,2,
185820,24357,2,
190399,20008,2,
191429,10012,1,
191021,34320,3,
192236,0,0,
165125,50699,5,
212964,31567,3,
203127,94257,8,
202228,82303,7,
198206,25170,2,
201928,68631,5,
206180,68528,6,
207675,60128,6,
202036,30056,3,
201743,40010,4,
203938,40083,4,
192535,60645,5,
204602,53473,5,
203415,68525,6,
202764,58487,5,
196617,30636,3,
195573,91765,8,
198796,51038,5,
202994,31214,3,
162587,20014,2,
161606,63115,6,
184908,59996,5,
190574,84109,8,
200313,51599,5,
202677,41341,3,
185635,50160,5,
197090,70580,7,
188300,21321,2,
189541,10016,1,
193711,61383,6,
194126,38159,3,
197781,24974,2,
192596,0,0,
197728,47122,4,
199337,50428,5,
192016,63543,6,
195363,20016,2,
194840,24562,2,
198605,10002,1,
196313,10018,1,
194884,88188,8,
194894,20020,2,
191130,44400,4,
196196,67382,6,
197187,30383,3,
204746,30406,3,
190858,33830,3,
193582,20010,2,
193889,40443,4,
194794,70074,7,
201957,45477,4,
203908,77379,7,
178914,20024,2,
187666,30036,3,
199866,33760,3,
194754,46058,4,
197119,20036,2,
200204,63646,6,
191706,10006,1,
197944,0,0,
195931,30028,3,
205526,30034,3,
186199,20070,2,
195365,63301,6,
204566,50210,5,
201475,30082,3,
198975,42454,4,
192485,73451,7,
200533,109519,10,
202518,71241,7,
192465,90666,7,
194523,89165,7,
176646,92568,8,
180484,47765,4,
181407,36507,2,
182083,90272,7,
189948,102997,8,
190555,67478,6,
187067,98835,9,
187966,50761,4,
178505,60895,5,
180280,49404,4,
186691,87916,7,
187704,60533,6,
188900,71527,6,
172953,58619,5,
191540,59725,5,
276545,118323,9,
263732,132984,9,
247732,84110,7,
266366,40119,4,
222275,20786,2,
179793,30044,3,
184518,21002,2,
182112,34304,3,
135430,20352,2,
186241,31846,3,
184311,23621,2,
225193,30040,3,
218632,65787,5,
189993,60917,5,
201791,94106,7,
196329,66104,5,
192089,61629,5,
189320,84652,7,
186559,50559,4,
194253,55528,5,
189711,71484,6,
184624,65699,5,
197511,78336,6,
191927,61234,4,
186948,71654,5,
184319,73702,6,
186231,68361,5,
194366,56252,5,
192537,93106,8,
199392,88346,7,
200304,109420,9,
203122,48069,3,
193406,40316,4,
202808,78291,7,
184400,20014,2,
178921,58216,4,
186600,38742,3,
190993,29487,2,
189731,66095,5,
198511,71765,7,
202724,93231,6,
183783,84987,6,
188167,104405,9,
